shortener,prolonger,n,seed,L,abs_L_over_n,L_times_logn_over_n,P_size,sum_inv_p,max_p_in_B,num_primes_in_B,sum_omega,log_log_n,ratio_to_loglog,wall_seconds
S_slp_odd,P_heuristic_maxdeg,1000000,0,78498,0.078498,1.0844899477790797,39249,1.5784669751768943,999979,39249,39249,2.625791914476011,0.6011393996892114,7.554961707995972
S_adaptive_prime,P_block_product,1000,0,187,0.187,1.2917502371696596,94,1.7141672233903524,997,87,111,1.9326447339160655,0.8869541273201216,0.003906291996827349
S_adaptive_prime,P_block_product,10000,0,1361,0.1361,1.2535273246259584,681,1.9532111435849588,9967,620,763,2.2203268063678463,0.8796953394352552,0.039112957994802855
S_adaptive_prime,P_block_product,100000,0,10576,0.10576,1.2176069971752512,5288,2.1370305298837606,99989,4809,5822,2.443470357682056,0.8745882769419013,0.6062507080059731
S_adaptive_prime,P_block_product,1000000,0,85003,0.085003,1.1743598439586371,42502,2.2965330259739267,999983,39281,45914,2.625791914476011,0.8746058715898707,8.418037583003752
S_adaptive_prime,P_interval_top,1000,0,201,0.201,1.3884588110754097,101,1.1027125653633694,997,68,165,1.9326447339160655,0.5705717900511248,0.0009792920027393848
S_adaptive_prime,P_interval_top,10000,0,1436,0.1436,1.32260487741578,718,1.0492754904755741,9949,511,1140,2.2203268063678463,0.47257704922819294,0.01137537500471808
S_adaptive_prime,P_interval_top,100000,0,12314,0.12314,1.4177016417564339,6157,1.2945737296942414,99971,3435,11550,2.443470357682056,0.529809467761381,0.16204995798761956
S_adaptive_prime,P_interval_top,1000000,0,95940,0.09594,1.3254600829310925,47970,1.2432685698282469,999979,30528,83218,2.625791914476011,0.47348328059588335,2.1486329159961315
S_adaptive_prime,P_heuristic_maxdeg,1000,0,168,0.168,1.160502886868999,84,1.2335831151186951,991,84,84,1.9326447339160655,0.6382875721908388,0.003187541995430365
S_adaptive_prime,P_heuristic_maxdeg,10000,0,1229,0.1229,1.131950831715873,615,1.3763583326301014,9973,615,615,2.2203268063678463,0.6198899768640983,0.04097533400636166
S_adaptive_prime,P_heuristic_maxdeg,100000,0,9592,0.09592,1.1043198105999443,4796,1.487436739148394,99989,4796,4796,2.443470357682056,0.6087394244305128,0.5688688330119476
S_adaptive_prime,P_heuristic_maxdeg,1000000,0,78498,0.078498,1.0844899477790797,39249,1.5784669751768943,999979,39249,39249,2.625791914476011,0.6011393996892114,7.733500333008124
S_carrier_snipe,P_block_product,1000,0,272,0.272,1.8789094358831413,136,1.9943728866892678,997,129,150,1.9326447339160655,1.031939730924123,0.0041670409991638735
S_carrier_snipe,P_block_product,10000,0,2225,0.2225,2.049300732764701,1113,2.253703222815416,9973,917,1324,2.2203268063678463,1.0150322089306165,0.04801854200195521
S_carrier_snipe,P_block_product,100000,0,18789,0.18789,2.163163565613256,9395,2.4882189856146617,99991,7115,11780,2.443470357682056,1.0183135546506303,0.7113534169911873
S_carrier_snipe,P_block_product,1000000,0,163369,0.163369,2.2570261443440653,81685,2.6899626479300993,999983,58169,105835,2.625791914476011,1.0244386210119372,10.758712625000044
S_carrier_snipe,P_interval_top,1000,0,400,0.4,2.763102111592855,200,2.1142259828357917,997,135,339,1.9326447339160655,1.0939547997276213,0.0012921659945277497
S_carrier_snipe,P_interval_top,10000,0,3783,0.3783,3.4842717627185906,1892,2.4121913622433224,9973,963,3563,2.2203268063678463,1.0864127547914177,0.01565699999628123
S_carrier_snipe,P_interval_top,100000,0,36564,0.36564,4.209586067011714,18282,2.642366018081957,99991,7314,37421,2.443470357682056,1.0813988431554287,0.20833220799977425
S_carrier_snipe,P_interval_top,1000000,0,356344,0.356344,4.923074294267221,178172,2.831165632198241,999983,58745,388598,2.625791914476011,1.0782140110151162,2.7086812920024386
S_carrier_snipe,P_heuristic_maxdeg,1000,0,168,0.168,1.160502886868999,84,1.2335831151186951,991,84,84,1.9326447339160655,0.6382875721908388,0.0036023749999003485
S_carrier_snipe,P_heuristic_maxdeg,10000,0,1229,0.1229,1.131950831715873,615,1.3763583326301014,9973,615,615,2.2203268063678463,0.6198899768640983,0.05722816700290423
S_carrier_snipe,P_heuristic_maxdeg,100000,0,9592,0.09592,1.1043198105999443,4796,1.487436739148394,99989,4796,4796,2.443470357682056,0.6087394244305128,1.5482012499996927
S_carrier_snipe,P_heuristic_maxdeg,1000000,0,78498,0.078498,1.0844899477790797,39249,1.5784669751768943,999979,39249,39249,2.625791914476011,0.6011393996892114,95.38421416700294
S_primorial_anchor,P_block_product,1000,0,208,0.208,1.4368130980282845,104,2.067345536938384,991,110,110,1.9326447339160655,1.0696976535099536,0.003944791998947039
S_primorial_anchor,P_block_product,10000,0,1542,0.1542,1.4202344853587276,771,2.3753387259794128,9967,786,786,2.2203268063678463,1.0698149115558104,0.04892616700090002
S_primorial_anchor,P_block_product,100000,0,11652,0.11652,1.3414860751783309,5826,2.600902597393959,99989,5862,5862,2.443470357682056,1.0644297726866012,0.7542106670007342
