move,player,x,killed_now,top_live
43264,S,283519,2,90891
43328,S,283979,2,90795
43392,S,284477,2,90699
43456,S,284839,2,90603
43520,S,285421,2,90507
43584,S,285839,2,90411
43648,S,286453,2,90315
43712,S,286973,2,90219
43776,S,287449,2,90123
43840,S,288049,2,90027
43904,S,288527,2,89931
43968,S,289001,2,89835
44032,S,289423,2,89739
44096,S,289957,2,89643
44160,S,290441,2,89547
44224,S,290861,2,89451
44288,S,291337,2,89355
44352,S,291877,2,89259
44416,S,292393,2,89163
44480,S,292879,2,89067
44544,S,293431,2,88971
44608,S,293989,2,88875
44672,S,294431,2,88779
44736,S,294949,2,88683
44800,S,295429,2,88587
44864,S,295937,2,88491
44928,S,296473,2,88395
44992,S,296831,2,88299
45056,S,297371,2,88203
45120,S,297853,2,88107
45184,S,298343,2,88011
45248,S,298817,2,87915
45312,S,299389,2,87819
45376,S,299881,2,87723
45440,S,300331,2,87627
45504,S,300821,2,87531
45568,S,301333,2,87435
45632,S,301789,2,87339
45696,S,302317,2,87243
45760,S,302891,2,87147
45824,S,303361,2,87051
45888,S,303749,2,86955
45952,S,304253,2,86859
46016,S,304729,2,86763
46080,S,305143,2,86667
46144,S,305603,2,86571
46208,S,306133,2,86475
46272,S,306643,2,86379
46336,S,307091,2,86283
46400,S,307609,2,86187
46464,S,308117,2,86091
46528,S,308551,2,85995
46592,S,309107,2,85899
46656,S,309559,2,85803
46720,S,310117,2,85707
46784,S,310591,2,85611
46848,S,311153,2,85515
46912,S,311681,2,85419
46976,S,312203,2,85323
47040,S,312677,2,85227
47104,S,313153,2,85131
47168,S,313613,2,85035
47232,S,314107,2,84939
47296,S,314569,2,84843
47360,S,315103,2,84747
47424,S,315617,2,84651
47488,S,316177,2,84555
47552,S,316637,2,84459
47616,S,317077,2,84363
47680,S,317587,2,84267
47744,S,318103,2,84171
47808,S,318557,2,84075
47872,S,319027,2,83979
47936,S,319439,2,83883
48000,S,319937,2,83787
48064,S,320431,2,83691
48128,S,320927,2,83595
48192,S,321397,2,83499
48256,S,321911,2,83403
48320,S,322429,2,83307
48384,S,322963,2,83211
48448,S,323507,2,83115
48512,S,324067,2,83019
48576,S,324497,2,82923
48640,S,324953,2,82827
48704,S,325439,2,82731
48768,S,325889,2,82635
48832,S,326449,2,82539
48896,S,326923,2,82443
48960,S,327347,2,82347
49024,S,327823,2,82251
49088,S,328303,2,82155
49152,S,328787,2,82059
49216,S,329269,2,81963
49280,S,329779,2,81867
49344,S,330241,2,81771
49408,S,330731,2,81675
49472,S,331249,2,81579
49536,S,331777,2,81483
49600,S,332263,2,81387
