occ_0,occ_1,occ_2,occ_3,occ_4,occ_5,occ_6,profile_normalized,profile_unnormalized,profile_normalized_rational,profile_unnormalized_rational
1,0,2,0,0,0,0,1.5148007478997294e-11,8.508114744879103e-12,14180191241465172686/936109337226430669065660005157,21270286862197759029/2500000000000000000000000000000
1,1,0,0,0,0,1,0.01211594805017749,0.006805111259472908,34025556297364543765398114802/2808328011679292007196980015471,17012778148682271882699057401/2500000000000000000000000000000
1,1,0,0,0,1,0,1.6165002508313182e-10,9.079325870592384e-11,1815865174118476932685/11233312046717168028787920061884,363173034823695386537/4000000000000000000000000000000
1,1,0,0,1,0,0,1.6062173611509275e-10,9.021570416331487e-11,300719013877716218987/1872218674452861338131320010314,902157041633148656961/10000000000000000000000000000000
1,1,0,1,0,0,0,9.908958084259148e-12,5.565520910916188e-12,55655209109161879307/5616656023358584014393960030942,55655209109161879307/10000000000000000000000000000000
1,1,1,0,0,0,0,4.9318229290118636e-11,2.7700352960372458e-11,554007059207449154897/11233312046717168028787920061884,554007059207449154897/20000000000000000000000000000000
1,2,0,0,0,0,0,1.1451869203432452e-11,6.4321210140173554e-12,64321210140173553161/5616656023358584014393960030942,64321210140173553161/10000000000000000000000000000000
2,0,0,0,0,0,1,0.0035300566884081796,0.0019827114161745057,13218076107830038392082004273/3744437348905722676262640020628,39654228323490115176246012819/20000000000000000000000000000000
2,0,0,0,0,1,0,3.5892271072949073e-06,2.0159454051389845e-06,2239939339043316277142323/624072891484287112710440003438,20159454051389846494280907/10000000000000000000000000000000
2,0,0,0,1,0,0,0.0021339119770509072,0.0011985449559220004,23970899118440006087383328867/11233312046717168028787920061884,23970899118440006087383328867/20000000000000000000000000000000
2,0,0,1,0,0,0,2.3989741092610024e-06,1.3474212380662102e-06,4491404126887367420702207/1872218674452861338131320010314,13474212380662102262106621/10000000000000000000000000000000
2,0,1,0,0,0,0,2.6337989378509284e-11,1.4793142668595858e-11,295862853371917155965/11233312046717168028787920061884,59172570674383431193/4000000000000000000000000000000
2,1,0,0,0,0,0,3.6993215639510633e-06,2.077781674450604e-06,6925938914835345913609939/1872218674452861338131320010314,20777816744506037740829817/10000000000000000000000000000000
3,0,0,0,0,0,0,0.00028291785522780404,0.00015890522756809372,794526137840468630857700221/2808328011679292007196980015471,794526137840468630857700221/5000000000000000000000000000000
